Text,Emotion
"I'm absolutely thrilled about the promotion!",happy
"This is the worst day of my life.",sad
"You're driving me crazy with that noise!",angry
"I'm terrified of what might happen next.",fear
"I can't believe you remembered my birthday!",surprise
"The meeting is scheduled for 3 PM.",neutral
"That smell is absolutely revolting.",disgust
"Life is beautiful when you're in love.",happy
"I feel so empty without you here.",sad
"Stop interrupting me when I'm talking!",angry
"What if something goes wrong?",fear
"You got the job? No way!",surprise
"Please pass the salt.",neutral
"I can't stand the way he chews his food.",disgust
"Dancing in the rain feels amazing!",happy
"I miss my grandmother every single day.",sad
"I'm sick of your excuses!",angry
"The dark alley made me nervous.",fear
"You're getting married? When?",surprise
"The store closes at 9 PM.",neutral
"That expired milk smells awful.",disgust
"Seeing my kids smile makes everything worthwhile.",happy
"The house feels so quiet without the dog.",sad
"You promised me you'd be here!",angry
"I'm scared of flying in small planes.",fear
"They cancelled the event? Really?",surprise
"I need to buy groceries today.",neutral
"His attitude makes me sick.",disgust
"I'm over the moon about this opportunity!",happy
"I can't stop crying since the breakup.",sad
"Why didn't you tell me about this earlier?",angry
"Something feels very wrong about this situation.",fear
"You won the lottery? Are you serious?",surprise
"The weather forecast shows rain tomorrow.",neutral
"The bathroom hasn't been cleaned in weeks.",disgust
"This sunset is absolutely gorgeous!",happy
"I feel like I'm drowning in sadness.",sad
"I'm furious that you lied to me!",angry
"I'm worried about my exam results.",fear
"Wait, you're moving to Japan?",surprise
"I'll be there in ten minutes.",neutral
"The garbage disposal is backed up again.",disgust
"Every moment with you is pure joy.",happy
"I haven't felt this low in years.",sad
"Your constant complaining is annoying!",angry
"I'm afraid I won't be good enough.",fear
"You're pregnant? Congratulations!",surprise
"The library is open until 8 PM.",neutral
"I hate the way he treats his employees.",disgust
"Winning the championship was incredible!",happy
"I'm heartbroken about losing the job.",sad
"I'm livid about the parking ticket!",angry
"The strange noise upstairs scares me.",fear
"She said yes to the proposal!",surprise
"Traffic is heavy on the highway.",neutral
"The restaurant's hygiene standards are appalling.",disgust
"I'm bursting with happiness right now!",happy
"The funeral was so difficult to get through.",sad
"I'm outraged by this injustice!",angry
"I'm petrified of public speaking.",fear
"You climbed Mount Everest? Wow!",surprise
"The train arrives at platform 3.",neutral
"I'm disgusted by his behavior.",disgust
"This is the best news I've heard all year!",happy
"I feel so lost without my best friend.",sad
"I'm tired of being taken for granted!",angry
"The thought of surgery terrifies me.",fear
"You bought a house? That's amazing!",surprise
"The meeting has been moved to room 204.",neutral
"The smell from the kitchen is nauseating.",disgust
"I'm floating on cloud nine today!",happy
"Everything reminds me of what I've lost.",sad
"I'm fed up with your broken promises!",angry
"I'm anxious about the job interview.",fear
"You're kidding me, right?",surprise
"The package will arrive tomorrow.",neutral
"I can't stomach his arrogant attitude.",disgust
"Laughing with friends is the best medicine.",happy
"I wish I could turn back time.",sad
"I'm boiling mad about this situation!",angry
"The dark clouds make me uneasy.",fear
"You learned to play piano in a month?",surprise
"The office is closed on weekends.",neutral
"The way he treats animals is sickening.",disgust
"I'm glowing with pride about my daughter.",happy
"The empty chair reminds me of dad.",sad
"I'm steaming about the service here!",angry
"What if we run out of money?",fear
"You're telling me it was free?",surprise
"I'll have a coffee, please.",neutral
"His table manners are repulsive.",disgust
"Today feels like a perfect day!",happy
"I'm drowning in grief and sorrow.",sad
"I'm absolutely livid right now!",angry
"The horror movie gave me nightmares.",fear
"You finished the project already?",surprise
"The temperature is 72 degrees today.",neutral
"I'm revolted by the condition of this place.",disgust
"I feel like I'm walking on sunshine!",happy
"I can't shake this feeling of sadness.",sad
"I'm seething with anger!",angry
"I'm terrified of what people will think.",fear
"You got accepted to Harvard?",surprise
"The bus runs every 20 minutes.",neutral
"The smell of rotten eggs is overwhelming.",disgust
"My heart is full of joy and gratitude.",happy
"I feel so alone in this big city.",sad
"I'm absolutely furious about this!",angry
"I'm scared of being alone in the dark.",fear
"Wait, you're twins?",surprise
"The store is having a sale this weekend.",neutral
"I'm disgusted by the corruption in politics.",disgust
"This is the happiest day of my life!",happy
"I'm devastated by the news.",sad
"I'm enraged by your selfish behavior!",angry
"The creaky floors make me nervous at night.",fear
"You speak seven languages fluently?",surprise
"The appointment is at 2:30 PM.",neutral
"The state of this bathroom is vile.",disgust
"I'm radiating happiness from every pore!",happy
"My heart aches for what could have been.",sad
"I'm burning with rage right now!",angry
"I'm frightened by the strange sounds outside.",fear
"You ran a marathon without training?",surprise
"Please turn left at the next intersection.",neutral
"I'm repulsed by his crude jokes.",disgust
"Life couldn't get any better than this!",happy
"I'm consumed by sadness and regret.",sad
"I'm absolutely incensed by this treatment!",angry
"The thought of failing keeps me awake.",fear
"You're only 16? I thought you were older!",surprise
"The document needs to be signed today.",neutral
"The way he talks about women disgusts me.",disgust
"I'm practically bouncing off the walls with excitement!",happy
"I feel like a piece of me is missing.",sad
"I'm beside myself with anger!",angry
"I'm petrified of what might happen tomorrow.",fear
"You've never seen snow before?",surprise
"The meeting starts in conference room A.",neutral
"The smell of cigarettes makes me nauseous.",disgust
"I'm beaming with pride and happiness!",happy
"The silence is deafening without you here.",sad
"I'm at my wit's end with this situation!",angry
"I'm worried sick about my child.",fear
"You're telling me this is your first time?",surprise
"The pharmacy is located on the second floor.",neutral
"I'm disgusted by the way he treats his wife.",disgust
"Every fiber of my being is filled with joy!",happy
"I'm overwhelmed by sadness and despair.",sad
"I'm absolutely irate about this delay!",angry
"The shadows in the corner frighten me.",fear
"You memorized the entire book?",surprise
"The flight departs from gate 12.",neutral
